
New|Tue, 28 Jun 2016 19:17:10 +0000|Kathleen Rice <campaign@kathleenrice.com>|Today is Election Day!
York|Tue, 28 Jun 2016 19:17:10 +0000|Kathleen Rice <campaign@kathleenrice.com>|Today is Election Day!
New|Tue, 28 Jun 2016 19:17:10 +0000|Kathleen Rice <campaign@kathleenrice.com>|Today is Election Day!
York|Tue, 28 Jun 2016 19:17:10 +0000|Kathleen Rice <campaign@kathleenrice.com>|Today is Election Day!
NY|Tue, 28 Jun 2016 12:45:40 -0400|"Sara Conrad " <info@crowleyforcongress.com>|Back in charge
NY|Tue, 28 Jun 2016 12:45:40 -0400|"Sara Conrad " <info@crowleyforcongress.com>|Back in charge
New|Wed, 29 Jun 2016 13:02:03 -0400 (EDT)|Kirsten Gillibrand <kg@kirstengillibrand.com>|Update: We won!
York|Wed, 29 Jun 2016 13:02:03 -0400 (EDT)|Kirsten Gillibrand <kg@kirstengillibrand.com>|Update: We won!
Washington|Wed, 29 Jun 2016 13:02:03 -0400 (EDT)|Kirsten Gillibrand <kg@kirstengillibrand.com>|Update: We won!
Washington|Wed, 29 Jun 2016 13:02:03 -0400 (EDT)|Kirsten Gillibrand <kg@kirstengillibrand.com>|Update: We won!
New|Wed, 29 Jun 2016 13:02:03 -0400 (EDT)|Kirsten Gillibrand <kg@kirstengillibrand.com>|Update: We won!
York|Wed, 29 Jun 2016 13:02:03 -0400 (EDT)|Kirsten Gillibrand <kg@kirstengillibrand.com>|Update: We won!
Washington|Wed, 29 Jun 2016 13:02:03 -0400 (EDT)|Kirsten Gillibrand <kg@kirstengillibrand.com>|Update: We won!
Washington|Wed, 29 Jun 2016 13:02:03 -0400 (EDT)|Kirsten Gillibrand <kg@kirstengillibrand.com>|Update: We won!
Flint|Thu, 30 Jun 2016 12:22:39 +0000 (GMT)|Chuck Schumer <info@chuckschumer.com>|=?utf-8?Q?The_GOP=E2=80=99s_horrendous_damage?=
Michigan|Thu, 30 Jun 2016 12:22:39 +0000 (GMT)|Chuck Schumer <info@chuckschumer.com>|=?utf-8?Q?The_GOP=E2=80=99s_horrendous_damage?=
New|Thu, 30 Jun 2016 12:22:39 +0000 (GMT)|Chuck Schumer <info@chuckschumer.com>|=?utf-8?Q?The_GOP=E2=80=99s_horrendous_damage?=
York|Thu, 30 Jun 2016 12:22:39 +0000 (GMT)|Chuck Schumer <info@chuckschumer.com>|=?utf-8?Q?The_GOP=E2=80=99s_horrendous_damage?=
Lexington|Thu, 30 Jun 2016 12:22:39 +0000 (GMT)|Chuck Schumer <info@chuckschumer.com>|=?utf-8?Q?The_GOP=E2=80=99s_horrendous_damage?=
Avenue|Thu, 30 Jun 2016 12:22:39 +0000 (GMT)|Chuck Schumer <info@chuckschumer.com>|=?utf-8?Q?The_GOP=E2=80=99s_horrendous_damage?=
NY|Thu, 30 Jun 2016 12:22:39 +0000 (GMT)|Chuck Schumer <info@chuckschumer.com>|=?utf-8?Q?The_GOP=E2=80=99s_horrendous_damage?=
Flint|Thu, 30 Jun 2016 12:22:39 +0000 (GMT)|Chuck Schumer <info@chuckschumer.com>|=?utf-8?Q?The_GOP=E2=80=99s_horrendous_damage?=
Michigan|Thu, 30 Jun 2016 12:22:39 +0000 (GMT)|Chuck Schumer <info@chuckschumer.com>|=?utf-8?Q?The_GOP=E2=80=99s_horrendous_damage?=
New|Thu, 30 Jun 2016 12:22:39 +0000 (GMT)|Chuck Schumer <info@chuckschumer.com>|=?utf-8?Q?The_GOP=E2=80=99s_horrendous_damage?=
York|Thu, 30 Jun 2016 12:22:39 +0000 (GMT)|Chuck Schumer <info@chuckschumer.com>|=?utf-8?Q?The_GOP=E2=80=99s_horrendous_damage?=
Lexington|Thu, 30 Jun 2016 12:22:39 +0000 (GMT)|Chuck Schumer <info@chuckschumer.com>|=?utf-8?Q?The_GOP=E2=80=99s_horrendous_damage?=
Avenue|Thu, 30 Jun 2016 12:22:39 +0000 (GMT)|Chuck Schumer <info@chuckschumer.com>|=?utf-8?Q?The_GOP=E2=80=99s_horrendous_damage?=
NY|Thu, 30 Jun 2016 12:22:39 +0000 (GMT)|Chuck Schumer <info@chuckschumer.com>|=?utf-8?Q?The_GOP=E2=80=99s_horrendous_damage?=
New|Thu, 30 Jun 2016 09:02:36 -0400|"Grace Meng " <grace@gracefornewyork.com>|Following up
York|Thu, 30 Jun 2016 09:02:36 -0400|"Grace Meng " <grace@gracefornewyork.com>|Following up
New|Thu, 30 Jun 2016 09:02:36 -0400|"Grace Meng " <grace@gracefornewyork.com>|Following up
York|Thu, 30 Jun 2016 09:02:36 -0400|"Grace Meng " <grace@gracefornewyork.com>|Following up
NY|Thu, 30 Jun 2016 09:02:36 -0400|"Grace Meng " <grace@gracefornewyork.com>|Following up
New|Thu, 30 Jun 2016 09:02:36 -0400|"Grace Meng " <grace@gracefornewyork.com>|Following up
York|Thu, 30 Jun 2016 09:02:36 -0400|"Grace Meng " <grace@gracefornewyork.com>|Following up
