
Congress|Wed, 27 Jul 2016 17:53:04 +0000|Kathleen Rice <campaign@kathleenrice.com>|Listen to the mothers: courage in the face of tragedy
Congress|Wed, 27 Jul 2016 17:53:04 +0000|Kathleen Rice <campaign@kathleenrice.com>|Listen to the mothers: courage in the face of tragedy
Congress|Tue, 28 Jun 2016 15:58:54 +0000|Sean Patrick Maloney <info@seanmaloney.com>|an update, friends
Congress|Tue, 28 Jun 2016 15:58:54 +0000|Sean Patrick Maloney <info@seanmaloney.com>|an update, friends
NRA|Tue, 28 Jun 2016 15:58:54 +0000|Sean Patrick Maloney <info@seanmaloney.com>|an update, friends
Congress|Tue, 28 Jun 2016 15:58:54 +0000|Sean Patrick Maloney <info@seanmaloney.com>|an update, friends
Congress|Tue, 28 Jun 2016 15:58:54 +0000|Sean Patrick Maloney <info@seanmaloney.com>|an update, friends
Congress|Tue, 28 Jun 2016 15:58:54 +0000|Sean Patrick Maloney <info@seanmaloney.com>|an update, friends
Congress|Tue, 28 Jun 2016 15:58:54 +0000|Sean Patrick Maloney <info@seanmaloney.com>|an update, friends
NRA|Tue, 28 Jun 2016 15:58:54 +0000|Sean Patrick Maloney <info@seanmaloney.com>|an update, friends
Congress|Tue, 28 Jun 2016 15:58:54 +0000|Sean Patrick Maloney <info@seanmaloney.com>|an update, friends
Congress|Tue, 28 Jun 2016 15:58:54 +0000|Sean Patrick Maloney <info@seanmaloney.com>|an update, friends
FEC|Tue, 28 Jun 2016 12:45:40 -0400|"Sara Conrad " <info@crowleyforcongress.com>|Back in charge
GOP|Tue, 28 Jun 2016 12:45:40 -0400|"Sara Conrad " <info@crowleyforcongress.com>|Back in charge
Congress|Tue, 28 Jun 2016 12:45:40 -0400|"Sara Conrad " <info@crowleyforcongress.com>|Back in charge
GOP|Tue, 28 Jun 2016 12:45:40 -0400|"Sara Conrad " <info@crowleyforcongress.com>|Back in charge
FEC|Tue, 28 Jun 2016 12:45:40 -0400|"Sara Conrad " <info@crowleyforcongress.com>|Back in charge
Congress|Tue, 28 Jun 2016 12:45:40 -0400|"Sara Conrad " <info@crowleyforcongress.com>|Back in charge
NGP|Tue, 28 Jun 2016 12:45:40 -0400|"Sara Conrad " <info@crowleyforcongress.com>|Back in charge
VAN|Tue, 28 Jun 2016 12:45:40 -0400|"Sara Conrad " <info@crowleyforcongress.com>|Back in charge
,|Tue, 28 Jun 2016 12:45:40 -0400|"Sara Conrad " <info@crowleyforcongress.com>|Back in charge
Inc|Tue, 28 Jun 2016 12:45:40 -0400|"Sara Conrad " <info@crowleyforcongress.com>|Back in charge
FEC|Tue, 28 Jun 2016 12:45:40 -0400|"Sara Conrad " <info@crowleyforcongress.com>|Back in charge
GOP|Tue, 28 Jun 2016 12:45:40 -0400|"Sara Conrad " <info@crowleyforcongress.com>|Back in charge
Congress|Tue, 28 Jun 2016 12:45:40 -0400|"Sara Conrad " <info@crowleyforcongress.com>|Back in charge
