
Krosby|1976-1|00000129.txt
Rosedale|1976-1|00000129.txt
California|1976-1|00000129.txt
New|1976-1|00000129.txt
York|1976-1|00000129.txt
America|1976-1|00000129.txt
Europe|1976-1|00000129.txt
Hudson|1976-1|00000129.txt
ALBANY|1976-1|00000129.txt
Amherst|1976-1|00000129.txt
Mecca|1976-1|00000129.txt
Germany|1976-1|00000129.txt
Albany|1976-1|00000129.txt
Albany|1976-1|00000129.txt
Albany|1976-1|00000129.txt
London|1976-1|00000129.txt
England|1976-1|00000129.txt
East|1976-1|00000129.txt
London|1976-1|00000129.txt
England|1976-1|00000129.txt
Washington|1976-1|00000129.txt
America|1976-1|00000129.txt
Paris|1976-1|00000129.txt
France|1976-1|00000129.txt
Soviet|1976-1|00000129.txt
Union|1976-1|00000129.txt
Africa|1976-1|00000129.txt
Paris|1976-1|00000129.txt
France|1976-1|00000129.txt
China|1976-1|00000129.txt
Paris|1976-1|00000129.txt
France|1976-1|00000129.txt
Paris|1976-1|00000129.txt
France|1976-1|00000129.txt
Peking|1976-1|00000129.txt
US|1976-1|00000129.txt
Peking|1976-1|00000129.txt
West|1976-1|00000129.txt
Berlin|1976-1|00000129.txt
Germany|1976-1|00000129.txt
Campus|1976-1|00000129.txt
Center|1976-1|00000129.txt
Capitol|1976-1|00000129.txt
Albany|1976-1|00000046.txt
Albany|1976-1|00000046.txt
Low|1976-1|00000046.txt
US|1976-1|00000046.txt
France|1976-1|00000046.txt
Spain|1976-1|00000046.txt
Montreal|1976-1|00000046.txt
Canada|1976-1|00000046.txt
Quebec|1976-1|00000046.txt
City|1976-1|00000046.txt
SUC|1976-1|00000046.txt
Plattsburgh|1976-1|00000046.txt
NY|1976-1|00000046.txt
Oii|1976-1|00000046.txt
Campus|1976-1|00000046.txt
Student|1976-1|00000046.txt
Lounge|1976-1|00000046.txt
Britain|1976-1|00000046.txt
France|1976-1|00000046.txt
Oermany|1976-1|00000046.txt
Yashica|1976-1|00000046.txt
